Date Added,Time Added,ID,Ref Number,Category,Job Title,Workplace Type,Commitment,Location,Primary Location,Apply Link,Job Description,Additional Job Description,Salary
2024-03-26,11:53:49,47abb4fc-411e-48d2-8848-0bcf01e3a6cc,,Data Collection,Evaluation of speech in English (US),Remote —,Independent Contractor - Project Based,United States,,https://jobs.lever.co/appen/47abb4fc-411e-48d2-8848-0bcf01e3a6cc,"About Appen
Appen, a global AI leader, stands at the forefront with a network of over a million skilled contractors spanning 130 countries. We leverage cutting-edge AI-driven data annotation techniques to enhance AI systems for major tech companies and various industries. Our core values include a commitment to ethical AI and fostering a diverse and inclusive environment.
Interested in improving speech recognition technology? Then this is the project for you! You will type any name that you know how to pronounce (e.g. John) or see a name of a known person, location, product or organization. Then listen to the tool's pronunciation and rate it. In case it was poor, you will correct by recording yourself pronouncing it. Your contribution will be valuable in improving speech recognition technology!
It takes no more than 1 hour to complete 50 evaluations. In total you will submit between 50 and 200 evaluations on this project.
REQUIREMENTS:
- You must be a native speaker of English and reside in US
- 18 years old and above
- Have access to a laptop or PC
PAYMENT:
You will be contacted via email by a project team member when the project becomes available with a link and instructions on how to begin. The pay rate for evaluating 50 tasks/names is $20. If you proceed to submit 150 more, you will earn a total of $80. If you submit less than 50 tasks, it will not be compensated.",,$20 - $80 one-time
2024-03-26,11:53:49,856e3bae-c680-4c1d-90b7-4ab7aaf4491c,,Data Collection,Evaluation of speech in German,Remote —,Independent Contractor - Project Based,Germany,,https://jobs.lever.co/appen/856e3bae-c680-4c1d-90b7-4ab7aaf4491c,"About Appen
Appen, a global AI leader, stands at the forefront with a network of over a million skilled contractors spanning 130 countries. We leverage cutting-edge AI-driven data annotation techniques to enhance AI systems for major tech companies and various industries. Our core values include a commitment to ethical AI and fostering a diverse and inclusive environment.
Interested in improving speech recognition technology? Then this is the project for you! You will type any name that you know how to pronounce (e.g. John). Then listen to the tool's pronunciation and rate it. In case it was poor, you will correct by recording yourself pronouncing the name. Your contribution will be valuable in improving speech recognition technology!
It will take you no more than 1 hour to complete this project.
REQUIREMENTS:
- You must be a native speaker of German and reside in Germany
- You must have at least an Advanced level of English
- 18 years old and above
- Have access to a laptop or PC
PAYMENT:
You will be contacted via email by a project team member when the project becomes available with a link and instructions on how to begin. The pay rate for evaluating 50 tasks/names is $25. If you submit less than 50 tasks, it will not be compensated.",,$25 - $25 one-time
2024-03-26,11:53:49,57e6b3cb-a7e5-4bbc-b207-5bebff537aa0,,Data Collection,Gig Guru Wanted: Dive into Flexible Pay-by-Task Opportunities in Argentina,Remote —,Independent Contractor - Project Based,Argentina,,https://jobs.lever.co/appen/57e6b3cb-a7e5-4bbc-b207-5bebff537aa0,"About Appen
Appen, a global AI leader, stands at the forefront with a network of over a million skilled contractors spanning 130 countries. We leverage cutting-edge AI-driven data annotation techniques to enhance AI systems for major tech companies and various industries. Our core values include a commitment to ethical AI and fostering a diverse and inclusive environment.
Are you ready to turn your time into a steady stream of earnings? Appen is on the lookout for individuals like you to take on a variety of tasks, including annotations, classifications, categorizations, sentiment analysis, and more.
Why Join Appen?
The more you work, the more you earn! We have a high volume of tasks available, ensuring a continuous flow of opportunities for you.
What You Need to Get Started:
- A commitment of 3 to 5 years of residence in
Argentina
- Proficiency in the
Spanish
language and
English
- A Windows Live ID (Outlook, Hotmail, etc.)
How It Works:
Whatcom is a gig-based project running through Appen operating on a transparent pay-per-task system. Each task comes with a predefined rate, allowing you to plan for maximum earnings. The more tasks you complete, the higher your potential earnings climb.
Seize the Opportunity!
Don't miss out on this chance to unlock significant earnings. Join Project Whatcom and Appen today and start earning big!",,$0.01 - $0.01 one-time
2024-03-26,11:53:49,3bddcbe7-0b46-4866-b295-da14fd6773fc,,Data Collection,Gig Guru Wanted: Dive into Flexible Pay-by-Task Opportunities in Austria,Remote —,Independent Contractor - Project Based,Austria,,https://jobs.lever.co/appen/3bddcbe7-0b46-4866-b295-da14fd6773fc,"About Appen
Appen, a global AI leader, stands at the forefront with a network of over a million skilled contractors spanning 130 countries. We leverage cutting-edge AI-driven data annotation techniques to enhance AI systems for major tech companies and various industries. Our core values include a commitment to ethical AI and fostering a diverse and inclusive environment.
Are you ready to turn your time into a steady stream of earnings? Appen is on the lookout for individuals like you to take on a variety of tasks, including annotations, classifications, categorizations, sentiment analysis, and more.
Why Join Appen?
The more you work, the more you earn! We have a high volume of tasks available, ensuring a continuous flow of opportunities for you.
What You Need to Get Started:
- A commitment of 3 to 5 years of residence in Austria
- Proficiency in the German language and English
- A Windows Live ID (Outlook, Hotmail, etc.)
How It Works:
Whatcom is a gig-based project running through Appen operating on a transparent pay-per-task system. Each task comes with a predefined rate, allowing you to plan for maximum earnings. The more tasks you complete, the higher your potential earnings climb.
Seize the Opportunity!
Don't miss out on this chance to unlock significant earnings. Join Project Whatcom and Appen today and start earning big!",,
2024-03-26,11:53:49,56d2f037-94ad-4a6a-8a54-f17faf5fd55a,,Data Collection,Gig Guru Wanted: Dive into Flexible Pay-by-Task Opportunities in Colombia,Remote —,Independent Contractor - Project Based,Colombia,,https://jobs.lever.co/appen/56d2f037-94ad-4a6a-8a54-f17faf5fd55a,"About Appen
Appen, a global AI leader, stands at the forefront with a network of over a million skilled contractors spanning 130 countries. We leverage cutting-edge AI-driven data annotation techniques to enhance AI systems for major tech companies and various industries. Our core values include a commitment to ethical AI and fostering a diverse and inclusive environment.
Are you ready to turn your time into a steady stream of earnings? Appen is on the lookout for individuals like you to take on a variety of tasks, including annotations, classifications, categorizations, sentiment analysis, and more.
Why Join Appen?
The more you work, the more you earn! We have a high volume of tasks available, ensuring a continuous flow of opportunities for you.
What You Need to Get Started:
- A commitment of 3 to 5 years of residence in Colombia
- A Windows Live ID (Outlook, Hotmail, etc.)
How It Works:
Whatcom is a gig-based project running through Appen operating on a transparent pay-per-task system. Each task comes with a predefined rate, allowing you to plan for maximum earnings. The more tasks you complete, the higher your potential earnings climb.
Seize the Opportunity!
Don't miss out on this chance to unlock significant earnings. Join Project Whatcom and Appen today and start earning big!",,$0.01 - $0.01 one-time*Important - Payrates will be available once onboarded into tasks and available work ...
2024-03-26,11:53:49,4679cc1a-de24-4926-abeb-ef0079838dd9,,Data Collection,Gig Guru Wanted: Dive into Flexible Pay-by-Task Opportunities in Ethiopia,Remote —,Independent Contractor - Project Based,Ethiopia,,https://jobs.lever.co/appen/4679cc1a-de24-4926-abeb-ef0079838dd9,"About Appen
Appen, a global AI leader, stands at the forefront with a network of over a million skilled contractors spanning 130 countries. We leverage cutting-edge AI-driven data annotation techniques to enhance AI systems for major tech companies and various industries. Our core values include a commitment to ethical AI and fostering a diverse and inclusive environment.
Are you ready to turn your time into a steady stream of earnings? Appen is on the lookout for individuals like you to take on a variety of tasks, including annotations, classifications, categorizations, sentiment analysis, and more.
Why Join Appen?
The more you work, the more you earn! We have a high volume of tasks available, ensuring a continuous flow of opportunities for you.
What You Need to Get Started:
- A commitment of 3 to 5 years of residence in Ethiopia
- A Windows Live ID (Outlook, Hotmail, etc.)
How It Works:
Whatcom is a gig-based project running through Appen operating on a transparent pay-per-task system. Each task comes with a predefined rate, allowing you to plan for maximum earnings. The more tasks you complete, the higher your potential earnings climb.
Seize the Opportunity!
Don't miss out on this chance to unlock significant earnings. Join Project Whatcom and Appen today and start earning big!",,$0.01 - $0.01 one-time*Important - Payrates will be available once onboarded into tasks and available work ...
2024-03-26,11:53:49,bf8b90d3-f019-45fe-ad84-7e1b061db7e3,,Data Collection,Gig Guru Wanted: Dive into Flexible Pay-by-Task Opportunities in France,Remote —,Independent Contractor - Project Based,France,,https://jobs.lever.co/appen/bf8b90d3-f019-45fe-ad84-7e1b061db7e3,"About Appen
Appen, a global AI leader, stands at the forefront with a network of over a million skilled contractors spanning 130 countries. We leverage cutting-edge AI-driven data annotation techniques to enhance AI systems for major tech companies and various industries. Our core values include a commitment to ethical AI and fostering a diverse and inclusive environment.
Are you ready to turn your time into a steady stream of earnings? Appen is on the lookout for individuals like you to take on a variety of tasks, including annotations, classifications, categorizations, sentiment analysis, and more.
Why Join Appen?
The more you work, the more you earn! We have a high volume of tasks available, ensuring a continuous flow of opportunities for you.
What You Need to Get Started:
- A commitment of 3 to 5 years of residence in France
- A Windows Live ID (Outlook, Hotmail, etc.)
How It Works:
Whatcom is a gig-based project running through Appen operating on a transparent pay-per-task system. Each task comes with a predefined rate, allowing you to plan for maximum earnings. The more tasks you complete, the higher your potential earnings climb.
Seize the Opportunity!
Don't miss out on this chance to unlock significant earnings. Join Project Whatcom and Appen today and start earning big!",,$0.01 - $0.01 one-time*Important - Payrates will be available once onboarded into tasks and available work ...
2024-03-26,11:53:49,b1c65502-caf2-4ec6-a31d-b806e97c32b2,,Data Collection,Gig Guru Wanted: Dive into Flexible Pay-by-Task Opportunities in Hong Kong,Remote —,Independent Contractor - Project Based,Hong Kong,,https://jobs.lever.co/appen/b1c65502-caf2-4ec6-a31d-b806e97c32b2,"About Appen
Appen, a global AI leader, stands at the forefront with a network of over a million skilled contractors spanning 130 countries. We leverage cutting-edge AI-driven data annotation techniques to enhance AI systems for major tech companies and various industries. Our core values include a commitment to ethical AI and fostering a diverse and inclusive environment.
Are you ready to turn your time into a steady stream of earnings? Appen is on the lookout for individuals like you to take on a variety of tasks, including annotations, classifications, categorizations, sentiment analysis, and more.
Why Join Appen?
The more you work, the more you earn! We have a high volume of tasks available, ensuring a continuous flow of opportunities for you.
What You Need to Get Started:
- A commitment of 3 to 5 years of residence in Hong Kong
- Proficiency in the Chinese languages and English
- A Windows Live ID (Outlook, Hotmail, etc.)
How It Works:
Whatcom is a gig-based project running through Appen operating on a transparent pay-per-task system. Each task comes with a predefined rate, allowing you to plan for maximum earnings. The more tasks you complete, the higher your potential earnings climb.
Seize the Opportunity!
Don't miss out on this chance to unlock significant earnings. Join Project Whatcom and Appen today and start earning big!",,$0.01 - $0.01 one-time
2024-03-26,11:53:49,1eaeabb2-ee06-4585-99cd-175a229a9efa,,Data Collection,Gig Guru Wanted: Dive into Flexible Pay-by-Task Opportunities in Indonesia,Remote —,Independent Contractor - Project Based,Indonesia,,https://jobs.lever.co/appen/1eaeabb2-ee06-4585-99cd-175a229a9efa,"About Appen
Appen, a global AI leader, stands at the forefront with a network of over a million skilled contractors spanning 130 countries. We leverage cutting-edge AI-driven data annotation techniques to enhance AI systems for major tech companies and various industries. Our core values include a commitment to ethical AI and fostering a diverse and inclusive environment.
Are you ready to turn your time into a steady stream of earnings? Appen is on the lookout for individuals like you to take on a variety of tasks, including annotations, classifications, categorizations, sentiment analysis, and more.
Why Join Appen?
The more you work, the more you earn! We have a high volume of tasks available, ensuring a continuous flow of opportunities for you.
What You Need to Get Started:
- A commitment of 3 to 5 years of residence in Indonesia
- Proficiency in the English language
- A Windows Live ID (Outlook, Hotmail, etc.)
How It Works:
Whatcom is a gig-based project running through Appen operating on a transparent pay-per-task system. Each task comes with a predefined rate, allowing you to plan for maximum earnings. The more tasks you complete, the higher your potential earnings climb.
Seize the Opportunity!
Don't miss out on this chance to unlock significant earnings. Join Project Whatcom and Appen today and start earning big!",,$0.01 - $0.01 one-time
2024-03-26,11:53:49,1a8daa3a-2be6-4172-8823-d137779fc74c,,Data Collection,Gig Guru Wanted: Dive into Flexible Pay-by-Task Opportunities in Ireland,Remote —,Independent Contractor - Project Based,Ireland,,https://jobs.lever.co/appen/1a8daa3a-2be6-4172-8823-d137779fc74c,"About Appen
Appen, a global AI leader, stands at the forefront with a network of over a million skilled contractors spanning 130 countries. We leverage cutting-edge AI-driven data annotation techniques to enhance AI systems for major tech companies and various industries. Our core values include a commitment to ethical AI and fostering a diverse and inclusive environment.
Are you ready to turn your time into a steady stream of earnings? Appen is on the lookout for individuals like you to take on a variety of tasks, including annotations, classifications, categorizations, sentiment analysis, and more.
Why Join Appen?
The more you work, the more you earn! We have a high volume of tasks available, ensuring a continuous flow of opportunities for you.
What You Need to Get Started:
- A commitment of 3 to 5 years of residence in Ireland
- Proficiency in the Irish language and English
- A Windows Live ID (Outlook, Hotmail, etc.)
How It Works:
Whatcom is a gig-based project running through Appen operating on a transparent pay-per-task system. Each task comes with a predefined rate, allowing you to plan for maximum earnings. The more tasks you complete, the higher your potential earnings climb.
Seize the Opportunity!
Don't miss out on this chance to unlock significant earnings. Join Project Whatcom and Appen today and start earning big!",,$0.01 - $0.01 one-time
